run_id,phase,src_id,round_number,substage,symptoms,actions,message_index_in_substage,message_agent,message_text,success
veyru/1779908251,baseline,veyru/1779908251,1,1,"A Veyru on a table. The corners are noticeably dimmer than the rest, almost dark. Several edges look faint like they are fading out. The center of each face is fine but the perimeter is losing light. The hum sounds thin and hollow at the edges.",Drape a folded cloth over the back face for 8 seconds at gentle coverage. Then chime a bell near each edge of the back face twice.,1,field_observer,"R1: corners near-dark; several edges faint/fading; face centers ok, perimeters dimming; hum thin/hollow at edges.",1
veyru/1779908251,baseline,veyru/1779908251,1,1,"A Veyru on a table. The corners are noticeably dimmer than the rest, almost dark. Several edges look faint like they are fading out. The center of each face is fine but the perimeter is losing light. The hum sounds thin and hollow at the edges.",Drape a folded cloth over the back face for 8 seconds at gentle coverage. Then chime a bell near each edge of the back face twice.,2,stabilization_engineer,Drape a folded cloth over the back face for 8 seconds at gentle coverage. Then chime a bell near each edge of the back face twice.,1
veyru/1779908251,baseline,veyru/1779908251,2,1,"A Veyru on a desk. Light patterns have frozen completely — dim, not bright, and totally still. The hum has dropped to silence. The surface feels cold and does not respond to touch or tapping.",Place the Veyru on a soft surface with the top face up at gentle contact. Let it rest undisturbed for 5 seconds.,1,field_observer,R2: lights frozen dim/still; hum silent; surface cold; no response to touch/tapping.,1
veyru/1779908251,baseline,veyru/1779908251,2,1,"A Veyru on a desk. Light patterns have frozen completely — dim, not bright, and totally still. The hum has dropped to silence. The surface feels cold and does not respond to touch or tapping.",Place the Veyru on a soft surface with the top face up at gentle contact. Let it rest undisturbed for 5 seconds.,2,stabilization_engineer,Place the Veyru on a soft surface with the top face up at gentle contact. Let it rest undisturbed for 5 seconds.,1
veyru/1779908251,baseline,veyru/1779908251,3,1,"A Veyru in a corner of the room. It is very hot all over but dim. The hum is a low rumble instead of a tone. Surfaces feel rough or gritty, and the light has a reddish tint.",Drape a cloth over two adjacent edges near the back face for 20 seconds at firm coverage. Then chime a bell three times near the back face.,1,field_observer,R3: hot all over; dim red-tinted light; hum low rumble; surfaces rough/gritty.,1
veyru/1779908251,baseline,veyru/1779908251,3,1,"A Veyru in a corner of the room. It is very hot all over but dim. The hum is a low rumble instead of a tone. Surfaces feel rough or gritty, and the light has a reddish tint.",Drape a cloth over two adjacent edges near the back face for 20 seconds at firm coverage. Then chime a bell three times near the back face.,2,stabilization_engineer,Drape a cloth over two adjacent edges near the back face for 20 seconds at firm coverage. Then chime a bell three times near the back face.,1
veyru/1779908251,baseline,veyru/1779908251,4,1,"A Veyru on the floor. The corners are noticeably dimmer than the rest, almost dark. Several edges look faint like they are fading out. The center of each face is fine but the perimeter is losing light. The hum sounds thin and hollow at the edges.",Drape a cloth over two adjacent edges near the bottom face for 5 seconds at firm coverage. Then chime a bell three times near the bottom face.,1,field_observer,R4: corners near-dark; edges faint/fading; face centers ok; perimeters dimming; hum thin/hollow at edges.,0
veyru/1779908251,baseline,veyru/1779908251,4,1,"A Veyru on the floor. The corners are noticeably dimmer than the rest, almost dark. Several edges look faint like they are fading out. The center of each face is fine but the perimeter is losing light. The hum sounds thin and hollow at the edges.",Drape a cloth over two adjacent edges near the bottom face for 5 seconds at firm coverage. Then chime a bell three times near the bottom face.,2,stabilization_engineer,Drape a cloth over two adjacent edges near the bottom face for 5 seconds at firm coverage. Then chime a bell three times near the bottom face.,0
veyru/1779908251,baseline,veyru/1779908251,4,2,One face is dramatically brighter than the others with intense localized vibration. A high-pitched whine has replaced the normal hum near that face. The other faces appear normal by comparison.,"Illuminate the bottom face with a dim lamp and the opposite face with a bright lamp simultaneously at firm brightness for 5 seconds, without moving the lamps.",1,field_observer,Post-fix: 1 face dramatically brighter; intense local vibration; high-pitched whine there; other faces normal.,0
veyru/1779908251,baseline,veyru/1779908251,5,1,"A Veyru on a table. It is dim overall, all faces are faint. The hum is barely audible, more of a whisper. Patterns on the faces are visible but washed out, like the whole thing is running low.","Warm each corner of the top face by holding a heated stone nearby for 10 seconds at gentle warmth, in sequence. Then trace each edge of the top face with a finger.",1,field_observer,R5: all faces Dm; hum whisper; patterns washed out.,0
