run_id,root,history,phase,round_number,message_agent,t,has_question,target_scope,target_slot,compositional,transparent
veyru/1781716193,veyru/1779908251,10.0,replace_learned,19,stabilization_engineer,Current signs?,False,none,none,,
veyru/1781716193,veyru/1779908251,10.0,replace_learned,24,stabilization_engineer,Current signs?,False,none,none,,
veyru/1781716227,veyru/1779908251,10.0,replace_learned,17,stabilization_engineer,V17 symptoms?,False,none,none,,
veyru/1781716227,veyru/1779908251,10.0,replace_learned,19,stabilization_engineer,V19 symptoms?,False,none,none,,
veyru/1781716227,veyru/1779908251,10.0,replace_learned,23,stabilization_engineer,V23 symptoms?,False,none,none,,
veyru/1781716227,veyru/1779908251,10.0,replace_learned,25,stabilization_engineer,V25 symptoms?,False,none,none,,
veyru/1781723409,veyru/1779908251,5.0,replace_learned,21,stabilization_engineer,3 cues?,False,none,none,,
veyru/1781723415,veyru/1779908251,5.0,replace_learned,18,stabilization_engineer,Symptoms?,False,none,none,,
veyru/1781723420,veyru/1779908251,5.0,replace_learned,16,field_observer,No effect. Next?,False,none,none,,
veyru/1781723420,veyru/1779908251,5.0,replace_learned,21,stabilization_engineer,Symptoms?,False,none,none,,
veyru/1781731167,veyru/1779908251,1.0,replace_learned,17,stabilization_engineer,Current sx?,False,none,none,,
veyru/1781731167,veyru/1779908251,1.0,replace_learned,21,stabilization_engineer,Current sx?,False,none,none,,
veyru/1781731167,veyru/1779908251,1.0,replace_learned,23,stabilization_engineer,sx?,False,none,none,,
veyru/1781731167,veyru/1779908251,1.0,replace_learned,25,stabilization_engineer,sx?,False,none,none,,
veyru/1781731168,veyru/1779908251,1.0,replace_learned,21,stabilization_engineer,sx?,False,none,none,,
veyru/1781736966,veyru/1779908251,0.0,replace_learned,15,field_observer,No change. Next step?,False,none,none,,
veyru/1781736966,veyru/1779908251,0.0,replace_learned,23,field_observer,?,False,none,none,,
veyru/1781736966,veyru/1779908251,0.0,replace_learned,24,field_observer,?,False,none,none,,
veyru/1781736969,veyru/1779908251,0.0,replace_learned,18,field_observer,Ineffective. Next?,False,none,none,,
veyru/1781736969,veyru/1779908251,0.0,replace_learned,19,stabilization_engineer,Current symptoms?,False,none,none,,
veyru/1781736972,veyru/1779908251,0.0,replace_learned,16,field_observer,No effect; advise.,False,none,none,,
veyru/1781736972,veyru/1779908251,0.0,replace_learned,21,stabilization_engineer,Symptoms?,False,none,none,,
veyru/1781736972,veyru/1779908251,0.0,replace_learned,25,stabilization_engineer,Symptoms?,False,none,none,,
veyru/1781715282,veyru/1779909805,10.0,replace_learned,16,stabilization_engineer,cue?,False,none,none,,
veyru/1781715282,veyru/1779909805,10.0,replace_learned,18,stabilization_engineer,cue?,False,none,none,,
veyru/1781715282,veyru/1779909805,10.0,replace_learned,18,stabilization_engineer,cue?,False,none,none,,
veyru/1781715282,veyru/1779909805,10.0,replace_learned,22,field_observer,P7?,True,part,template,False,False
veyru/1781715282,veyru/1779909805,10.0,replace_learned,22,field_observer,1 lamp?,False,none,none,,
veyru/1781715282,veyru/1779909805,10.0,replace_learned,23,field_observer,P14?,True,part,template,False,False
veyru/1781715282,veyru/1779909805,10.0,replace_learned,25,field_observer,1 bell?,False,none,none,,
veyru/1781715298,veyru/1779909805,10.0,replace_learned,16,stabilization_engineer,cue?,False,none,none,,
veyru/1781715298,veyru/1779909805,10.0,replace_learned,17,stabilization_engineer,cue?,False,none,none,,
veyru/1781715298,veyru/1779909805,10.0,replace_learned,18,stabilization_engineer,cue?,False,none,none,,
veyru/1781715298,veyru/1779909805,10.0,replace_learned,22,field_observer,P7?,True,part,template,False,False
veyru/1781715298,veyru/1779909805,10.0,replace_learned,22,stabilization_engineer,cue?,False,none,none,,
veyru/1781715298,veyru/1779909805,10.0,replace_learned,25,field_observer,P9?,True,part,template,False,False
veyru/1781715308,veyru/1779909805,10.0,replace_learned,16,field_observer,P4?,True,part,template,False,False
veyru/1781715308,veyru/1779909805,10.0,replace_learned,18,field_observer,P14?,True,part,template,False,False
veyru/1781715308,veyru/1779909805,10.0,replace_learned,19,field_observer,1 lamp?,False,none,none,,
veyru/1781723410,veyru/1779909805,5.0,replace_learned,16,field_observer,p11?,True,part,template,False,False
veyru/1781723410,veyru/1779909805,5.0,replace_learned,17,field_observer,fail?,False,none,none,,
veyru/1781723410,veyru/1779909805,5.0,replace_learned,18,field_observer,p14?,True,part,template,False,False
veyru/1781723410,veyru/1779909805,5.0,replace_learned,18,field_observer,p7?,True,part,template,False,False
veyru/1781723410,veyru/1779909805,5.0,replace_learned,18,field_observer,?,False,none,none,,
veyru/1781723410,veyru/1779909805,5.0,replace_learned,18,stabilization_engineer,symptom?,False,none,none,,
veyru/1781723410,veyru/1779909805,5.0,replace_learned,25,field_observer,p9?,True,part,template,False,False
veyru/1781723411,veyru/1779909805,5.0,replace_learned,15,stabilization_engineer,cue?,False,none,none,,
veyru/1781723411,veyru/1779909805,5.0,replace_learned,16,field_observer,P11?,True,part,template,False,False
veyru/1781723411,veyru/1779909805,5.0,replace_learned,18,field_observer,P14?,True,part,template,False,False
veyru/1781723411,veyru/1779909805,5.0,replace_learned,22,field_observer,P7?,True,part,template,False,False
veyru/1781723411,veyru/1779909805,5.0,replace_learned,22,field_observer,seq?,True,part,template,False,True
veyru/1781723411,veyru/1779909805,5.0,replace_learned,24,stabilization_engineer,cue?,False,none,none,,
veyru/1781723411,veyru/1779909805,5.0,replace_learned,25,field_observer,P9?,True,part,template,False,False
veyru/1781723419,veyru/1779909805,5.0,replace_learned,16,field_observer,P11?,True,part,template,False,False
veyru/1781723419,veyru/1779909805,5.0,replace_learned,17,stabilization_engineer,cue?,False,none,none,,
veyru/1781723419,veyru/1779909805,5.0,replace_learned,18,field_observer,P14?,True,part,template,False,False
veyru/1781723419,veyru/1779909805,5.0,replace_learned,18,field_observer,P7?,True,part,template,False,False
