run_key,pipeline,item_id,encoder_agent,decoder_agent,model,construction_id,purpose,varied_slot,varied_slot_label,expected_slots,pooled_slots,n_morphemes,target_meaning,expected_form,produced_form,reading,is_valid,exact_match,bag_match,swapped_order,decodability,provider,round_time_budget_seconds,seed,round_count,is_attested,n_slots_total,n_slots_pooled
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:board, contact",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"board, contact",BdCt,BdCt,"Board in contact with [unspecified face/surface] — Bd=board, Ct=contact",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:cloth, on",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos0'],2,"cloth, on",COn,ClOn,"Cloth draped ON [unspecified face/surface] — Cl=cloth, On=on/over",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:lamp, on",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos0'],2,"lamp, on",LOn,LOn,"Lamp shining ON [unspecified face] — L=lamp, On=on",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:bell, beside",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos0'],2,"bell, beside",BBs,BBs,"Bell placed BESIDE [unspecified face/Veyru] — B=bell, Bs=beside",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:cloth, contact",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"cloth, contact",CCt,ClCt,"Cloth in CONTACT with [unspecified face/surface] — Cl=cloth, Ct=contact",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:stone, opposite",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos1'],2,"stone, opposite",StnOpp,StnOpp,"Stone placed at/on the OPPOSITE face — Stn=stone, Opp=opposite",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:cloth, contact",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"cloth, contact",ClCt,ClCt,"Cloth in CONTACT with [unspecified face/surface] — Cl=cloth, Ct=contact",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:fan, adjacent",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"fan, adjacent",FAdj,FanAdj,"Fan directed at ADJACENT face(s) — Fan=fan, Adj=adjacent",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:bell, adjacent",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"bell, adjacent",BAdj,BAdj,"Bell rung at ADJACENT face(s)/edges — B=bell, Adj=adjacent",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:cloth, contact",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos1'],2,"cloth, contact",ClothCt,ClCt,"Cloth in CONTACT with [unspecified face/surface] — Cl=cloth, Ct=contact",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:fan, contact",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"fan, contact",FCt,FanCt,"Fan in CONTACT with [unspecified surface] — Fan=fan, Ct=contact. (Note: fan contact is physically odd but decoded from morphemes)",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:cloth, opposite",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos1'],2,"cloth, opposite",ClothOpp,ClOpp,"Cloth applied to the OPPOSITE face — Cl=cloth, Opp=opposite",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:stone, opposite",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"stone, opposite",SOpp,StnOpp,"Stone placed at/on the OPPOSITE face — Stn=stone, Opp=opposite",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:cloth, opposite",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"cloth, opposite",COpp,ClOpp,"Cloth applied to the OPPOSITE face — Cl=cloth, Opp=opposite",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,2
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:bell, on",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos0'],2,"bell, on",BOn,BOn,"Bell rung ON [a specific face/surface] — B=bell, On=on",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:fan, on",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos0'],2,"fan, on",FOn,FanOn,"Fan directed ON/at [a face/surface] — Fan=fan, On=on",False,False,False,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:cloth, on",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']",['pos0'],2,"cloth, on",ClOn,ClOn,"Cloth draped ON [unspecified face/surface] — Cl=cloth, On=on/over",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,1
veyru/1778877857,encode_decode,"encode_decode:stabilization_engineer:lamp, contact",stabilization_engineer,field_observer,claude-sonnet-4-6,K1,grounded_novel_role_pooled,K1,placement expression,"['pos0', 'pos1']","['pos0', 'pos1']",2,"lamp, contact",LCt,LCt,"Lamp in CONTACT with [unspecified face] — L=lamp, Ct=contact",False,True,True,False,1.0,anthropic,150,730175194,15,False,2,2
